"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","4","1276-1489-1-ND","CL05B102JB5NNNC","CAP CER 1000PF 50V X7R 0402","","4","0","0.10000","0.40"
"2","2","1276-1499-1-ND","CL05B103KB5NFNC","CAP CER 10000PF 50V X7R 0402","","2","0","0.10000","0.20"
"3","3","1276-1562-1-ND","CL05B392KB5NNNC","CAP CER 3900PF 50V X7R 0402","","3","0","0.10000","0.30"
"4","2","1276-1871-1-ND","CL10A106MP8NNNC","CAP CER 10UF 10V X5R 0603","","2","0","0.20000","0.40"
"5","1","1276-6720-1-ND","CL05B104KA5NNNC","CAP CER 0.1UF 25V X7R 0402","","1","0","0.10000","0.10"
"6","2","1514-CMOSH-4ETRPBFREECT-ND","CMOSH-4E TR PBFREE","DIODE SCHOTTKY 40V 200MA SOD523","","2","0","0.53000","1.06"
"7","2","445-6389-1-ND","MLZ1608M100WT000","FIXED IND 10UH 250MA 1.05OHM SMD","","2","0","0.16000","0.32"
"8","4","RR05P300DCT-ND","RR0510P-301-D","RES SMD 300 OHM 0.5% 1/16W 0402","","4","0","0.10000","0.40"
"9","8","YAG1234CT-ND","RT0402FRE071KL","RES SMD 1K OHM 1% 1/16W 0402","","8","0","0.10000","0.80"
"10","2","RG10P51KBCT-ND","RG1005P-513-B-T5","RES SMD 51K OHM 0.1% 1/16W 0402","","2","0","0.47000","0.94"
"11","2","YAG2305CT-ND","RT0402BRE0710KL","RES SMD 10K OHM 0.1% 1/16W 0402","","2","0","0.38000","0.76"
"12","1","3361P-1-504GLFCT-ND","3361P-1-504GLF","TRIMMER 500K OHM 0.5W GW TOP ADJ","","1","0","1.26000","1.26"
"13","1","AD8668ARZ-ND","AD8668ARZ","IC OPAMP GP 4 CIRCUIT 14SOIC","","1","0","5.00000","5.00"
