"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","5","1276-1871-1-ND","CL10A106MP8NNNC","CAP CER 10UF 10V X5R 0603","","5","0","0.20000","1.00"
"2","2","1514-CMOSH-4ETRPBFREECT-ND","CMOSH-4E TR PBFREE","DIODE SCHOTTKY 40V 200MA SOD523","","2","0","0.53000","1.06"
"3","7","445-6389-1-ND","MLZ1608M100WT000","FIXED IND 10UH 250MA 1.05OHM SMD","","7","0","0.16000","1.12"
"4","6","RR05P300DCT-ND","RR0510P-301-D","RES SMD 300 OHM 0.5% 1/16W 0402","","6","0","0.10000","0.60"
"5","2","RG10P51KBCT-ND","RG1005P-513-B-T5","RES SMD 51K OHM 0.1% 1/16W 0402","","2","0","0.47000","0.94"
"6","2","YAG2305CT-ND","RT0402BRE0710KL","RES SMD 10K OHM 0.1% 1/16W 0402","","2","0","0.38000","0.76"
"7","1","3361P-1-504GLFCT-ND","3361P-1-504GLF","TRIMMER 500K OHM 0.5W GW TOP ADJ","","1","0","1.26000","1.26"
"8","1","AD8668ARZ-ND","AD8668ARZ","IC OPAMP GP 4 CIRCUIT 14SOIC","","1","0","5.00000","5.00"
"9","2","1497-1367-1-ND","XZTNI53W-1","EMITTER IR 940NM 50MA SMD","","2","0","0.53000","1.06"
"10","2","QSB363GRCT-ND","QSB363GR","SENSOR PHOTO 940NM TOP VIEW 2SMD","","2","0","0.53000","1.06"
"11","2","RNCP0805FTD10K0CT-ND","RNCP0805FTD10K0","RES 10K OHM 1% 1/4W 0805","","2","0","0.10000","0.20"
"12","3","BC817-40FDICT-ND","BC817-40-7-F","TRANS NPN 45V 500MA SOT23-3","","3","0","0.22000","0.66"
"13","2","RG10P2.0KBCT-ND","RG1005P-202-B-T5","RES SMD 2K OHM 0.1% 1/16W 0402","","2","0","0.50000","1.00"
"14","1","P240DECT-ND","ERA-2AED241X","RES SMD 240 OHM 0.5% 1/16W 0402","","1","0","0.20000","0.20"
"15","1","3361P-102GLFCT-ND","3361P-1-102GLF","TRIMMER 1K OHM 0.5W GW TOP ADJ","","1","0","1.26000","1.26"
"16","1","3361P-502GLFCT-ND","3361P-1-502GLF","TRIMMER 5K OHM 0.5W GW TOP ADJ","","1","0","1.26000","1.26"
"17","1","LM317MABDTG-ND","LM317MABDTG","IC REG LINEAR POS ADJ 500MA DPAK","","1","0","0.96000","0.96"
"18","4","1276-1489-1-ND","CL05B102JB5NNNC","CAP CER 1000PF 50V X7R 0402","","4","0","0.10000","0.40"
"19","2","1276-1499-1-ND","CL05B103KB5NFNC","CAP CER 10000PF 50V X7R 0402","","2","0","0.10000","0.20"
"20","3","1276-1562-1-ND","CL05B392KB5NNNC","CAP CER 3900PF 50V X7R 0402","","3","0","0.10000","0.30"
"21","3","1276-6720-1-ND","CL05B104KA5NNNC","CAP CER 0.1UF 25V X7R 0402","","3","0","0.10000","0.30"
"22","9","YAG1234CT-ND","RT0402FRE071KL","RES SMD 1K OHM 1% 1/16W 0402","","9","0","0.10000","0.90"
"23","2","1276-1538-1-ND","CL05B223KP5NNNC","CAP CER 0.022UF 10V X7R 0402","","2","0","0.10000","0.20"
"24","5","1276-1067-1-ND","CL05A105KO5NNNC","CAP CER 1UF 16V X5R 0402","","5","0","0.10000","0.50"
"25","3","2037-PFR05S-201-FNHCT-ND","PFR05S-201-FNH","RES SMD 200 OHM 1% 1/16W 0402","","3","0","0.10000","0.30"
