"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","15","1276-1871-1-ND","CL10A106MP8NNNC","CAP CER 10UF 10V X5R 0603","","15","0","0.14500","2.18"
"2","3","BC817-40FDICT-ND","BC817-40-7-F","TRANS NPN 45V 500MA SOT23-3","","3","0","0.22000","0.66"
"3","26","RR05P300DCT-ND","RR0510P-301-D","RES SMD 300 OHM 0.5% 1/16W 0402","","26","0","0.07200","1.87"
"4","2","RG10P2.0KBCT-ND","RG1005P-202-B-T5","RES SMD 2K OHM 0.1% 1/16W 0402","","2","0","0.50000","1.00"
"5","1","P240DECT-ND","ERA-2AED241X","RES SMD 240 OHM 0.5% 1/16W 0402","","1","0","0.20000","0.20"
"6","1","3361P-102GLFCT-ND","3361P-1-102GLF","TRIMMER 1K OHM 0.5W GW TOP ADJ","","1","0","1.26000","1.26"
"7","1","3361P-502GLFCT-ND","3361P-1-502GLF","TRIMMER 5K OHM 0.5W GW TOP ADJ","","1","0","1.26000","1.26"
"8","1","LM317MABDTG-ND","LM317MABDTG","IC REG LINEAR POS ADJ 500MA DPAK","","1","0","0.96000","0.96"
"9","12","1497-1367-1-ND","XZTNI53W-1","EMITTER IR 940NM 50MA SMD","","12","0","0.32600","3.91"
"10","12","QSB363GRCT-ND","QSB363GR","SENSOR PHOTO 940NM TOP VIEW 2SMD","","12","0","0.34900","4.19"
"11","12","RNCP0805FTD10K0CT-ND","RNCP0805FTD10K0","RES 10K OHM 1% 1/4W 0805","","12","0","0.07300","0.88"
"12","12","1514-CMOSH-4ETRPBFREECT-ND","CMOSH-4E TR PBFREE","DIODE SCHOTTKY 40V 200MA SOD523","","12","0","0.45400","5.45"
"13","17","445-6389-1-ND","MLZ1608M100WT000","FIXED IND 10UH 250MA 1.05OHM SMD","","17","0","0.14200","2.41"
"14","12","RG10P51KBCT-ND","RG1005P-513-B-T5","RES SMD 51K OHM 0.1% 1/16W 0402","","12","0","0.36200","4.34"
"15","12","YAG2305CT-ND","RT0402BRE0710KL","RES SMD 10K OHM 0.1% 1/16W 0402","","12","0","0.32000","3.84"
"16","6","3361P-1-504GLFCT-ND","3361P-1-504GLF","TRIMMER 500K OHM 0.5W GW TOP ADJ","","6","0","1.26000","7.56"
"17","6","AD8668ARZ-ND","AD8668ARZ","IC OPAMP GP 4 CIRCUIT 14SOIC","","6","0","5.00000","30.00"
"18","24","1276-1489-1-ND","CL05B102JB5NNNC","CAP CER 1000PF 50V X7R 0402","","24","0","0.04200","1.01"
"19","12","1276-1499-1-ND","CL05B103KB5NFNC","CAP CER 10000PF 50V X7R 0402","","12","0","0.02000","0.24"
"20","18","1276-1562-1-ND","CL05B392KB5NNNC","CAP CER 3900PF 50V X7R 0402","","18","0","0.03200","0.58"
"21","2","1276-1538-1-ND","CL05B223KP5NNNC","CAP CER 0.022UF 10V X7R 0402","","2","0","0.10000","0.20"
"22","5","1276-1067-1-ND","CL05A105KO5NNNC","CAP CER 1UF 16V X5R 0402","","5","0","0.10000","0.50"
"23","8","1276-6720-1-ND","CL05B104KA5NNNC","CAP CER 0.1UF 25V X7R 0402","","8","0","0.10000","0.80"
"24","3","2037-PFR05S-201-FNHCT-ND","PFR05S-201-FNH","RES SMD 200 OHM 1% 1/16W 0402","","3","0","0.10000","0.30"
"25","49","YAG1234CT-ND","RT0402FRE071KL","RES SMD 1K OHM 1% 1/16W 0402","","49","0","0.07000","3.43"
