Quantity,Part Number,Manufacturer Part Number,Description
24,1276-1489-1-ND,CL05B102JB5NNNC,CAP CER 1000PF 50V X7R 0402
12,1276-1499-1-ND,CL05B103KB5NFNC,CAP CER 10000PF 50V X7R 0402
18,1276-1562-1-ND,CL05B392KB5NNNC,CAP CER 3900PF 50V X7R 0402
12,1276-1871-1-ND,CL10A106MP8NNNC,CAP CER 10UF 10V X5R 0603
6,1276-6720-1-ND,CL05B104KA5NNNC,CAP CER 0.1UF 25V X7R 0402
12,1514-CMOSH-4ETRPBFREECT-ND,CMOSH-4E TR PBFREE,DIODE SCHOTTKY 40V 200MA SOD523
12,445-6389-1-ND,MLZ1608M100WT000,FIXED IND 10UH 250MA 1.05OHM SMD
24,RR05P300DCT-ND,RR0510P-301-D,RES SMD 300 OHM 0.5% 1/16W 0402
48,YAG1234CT-ND,RT0402FRE071KL,RES SMD 1K OHM 1% 1/16W 0402
12,RG10P51KBCT-ND,RG1005P-513-B-T5,RES SMD 51K OHM 0.1% 1/16W 0402
12,YAG2305CT-ND,RT0402BRE0710KL,RES SMD 10K OHM 0.1% 1/16W 0402
6,3361P-1-504GLFCT-ND,3361P-1-504GLF,TRIMMER 500K OHM 0.5W GW TOP ADJ
6,AD8668ARZ-ND,AD8668ARZ,IC OPAMP GP 4 CIRCUIT 14SOIC
