"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","1276-1538-1-ND","CL05B223KP5NNNC","CAP CER 0.022UF 10V X7R 0402","","2","0","0.10000","0.20"
"2","5","1276-1067-1-ND","CL05A105KO5NNNC","CAP CER 1UF 16V X5R 0402","","5","0","0.10000","0.50"
"3","3","1276-1871-1-ND","CL10A106MP8NNNC","CAP CER 10UF 10V X5R 0603","","3","0","0.20000","0.60"
"4","2","1276-6720-1-ND","CL05B104KA5NNNC","CAP CER 0.1UF 25V X7R 0402","","2","0","0.10000","0.20"
"5","5","445-6389-1-ND","MLZ1608M100WT000","FIXED IND 10UH 250MA 1.05OHM SMD","","5","0","0.16000","0.80"
"6","3","BC817-40FDICT-ND","BC817-40-7-F","TRANS NPN 45V 500MA SOT23-3","","3","0","0.22000","0.66"
"7","2","RR05P300DCT-ND","RR0510P-301-D","RES SMD 300 OHM 0.5% 1/16W 0402","","2","0","0.10000","0.20"
"8","2","RG10P2.0KBCT-ND","RG1005P-202-B-T5","RES SMD 2K OHM 0.1% 1/16W 0402","","2","0","0.50000","1.00"
"9","3","2037-PFR05S-201-FNHCT-ND","PFR05S-201-FNH","RES SMD 200 OHM 1% 1/16W 0402","","3","0","0.10000","0.30"
"10","1","P240DECT-ND","ERA-2AED241X","RES SMD 240 OHM 0.5% 1/16W 0402","","1","0","0.20000","0.20"
"11","1","YAG1234CT-ND","RT0402FRE071KL","RES SMD 1K OHM 1% 1/16W 0402","","1","0","0.10000","0.10"
"12","1","3361P-102GLFCT-ND","3361P-1-102GLF","TRIMMER 1K OHM 0.5W GW TOP ADJ","","1","0","1.26000","1.26"
"13","1","3361P-502GLFCT-ND","3361P-1-502GLF","TRIMMER 5K OHM 0.5W GW TOP ADJ","","1","0","1.26000","1.26"
"14","1","LM317MABDTG-ND","LM317MABDTG","IC REG LINEAR POS ADJ 500MA DPAK","","1","0","0.96000","0.96"
